Product,Type,Release Date,Process Size (nm),TDP (W),Die Size (mm^2),Transistors (million),Freq (MHz),Foundry,Vendor,FP32 GFLOPS,FP64 GFLOPS,Performance
NVIDIA GeForce 8800 GS,GPU,2008,65.0,105.0,324.0,754.0,550,TSMC,NVIDIA,264.0,364.0,Medium
NVIDIA GeForce 9400 GT,GPU,2008,55.0,50.0,121.0,314.0,550,TSMC,NVIDIA,44.8,364.0,Medium
NVIDIA GeForce 9400 GT PCI,GPU,2008,55.0,50.0,121.0,314.0,550,TSMC,NVIDIA,44.8,364.0,Medium
NVIDIA GeForce 9500 GS,GPU,2008,65.0,40.0,144.0,314.0,550,UMC,NVIDIA,88.0,364.0,Medium
NVIDIA GeForce 9600 GSO,GPU,2008,65.0,84.0,324.0,754.0,550,TSMC,NVIDIA,264.0,364.0,Medium
NVIDIA GeForce 9650M GT,GPU,2008,55.0,23.0,121.0,314.0,550,TSMC,NVIDIA,84.8,364.0,Medium
Intel GMA X4500MHD,GPU,2008,65.0,13.0,188.0,1930.0,533,Intel,Intel,85.28,364.0,Medium
Intel GMA X4500,GPU,2008,65.0,13.0,188.0,1930.0,533,Intel,Intel,85.28,364.0,Medium
NVIDIA GeForce 9800M GS,GPU,2008,65.0,60.0,240.0,505.0,530,TSMC,NVIDIA,169.6,364.0,Medium
NVIDIA GeForce 9700M GTS,GPU,2008,65.0,60.0,240.0,505.0,530,TSMC,NVIDIA,127.2,364.0,Medium
NVIDIA Quadro FX 2700M,GPU,2008,65.0,65.0,240.0,505.0,530,TSMC,NVIDIA,127.2,364.0,Medium
NVIDIA Quadro FX 1700 Mac Edition,GPU,2008,80.0,42.0,169.0,289.0,520,TSMC,NVIDIA,66.56,364.0,Medium
NVIDIA GeForce 7050 + nForce 610i,GPU,2008,90.0,81.0,81.0,112.0,500,Unknown,NVIDIA,2135.0,364.0,Medium
NVIDIA Quadro FX 770M,GPU,2008,65.0,35.0,144.0,314.0,500,UMC,NVIDIA,80.0,364.0,Medium
